,date,DAY WISE POSITIVE COVID CASES,DAY WISE PROGRESSIVE POSITIVE COVID CASES,DAY WISE RECOVERED COVID CASES
0,1-Mar,0,0,0
1,2-Mar,0,0,0
2,3-Mar,0,0,0
3,4-Mar,0,0,0
4,5-Mar,0,0,0
5,5-Mar.1,0,0,0
6,6-Mar,0,0,0
7,7-Mar,0,0,0
8,8-Mar,0,0,0
9,9-Mar,0,0,0
10,10-Mar,0,0,0
11,11-Mar,3,3,3
12,12-Mar,0,3,0
13,13-Mar,5,8,5
14,14-Mar,1,9,1
15,15-Mar,0,9,0
16,16-Mar,0,9,0
17,17-Mar,2,11,2
18,18-Mar,0,11,0
19,19-Mar,1,12,1
20,20-Mar,0,12,0
21,21-Mar,0,12,0
22,22-Mar,0,12,0
23,23-Mar,0,12,0
24,24-Mar,0,12,0
25,25-Mar,0,12,0
26,26-Mar,0,12,0
27,27-Mar,0,12,0
28,28-Mar,0,12,0
29,29-Mar,0,12,0
30,30-Mar,0,12,0
31,31-Mar,2,14,1
32,1-Apr,0,14,0
33,2-Apr,0,14,0
34,3-Apr,1,15,1
35,4-Apr,3,18,3
36,5-Apr,0,18,0
37,6-Apr,0,18,0
38,7-Apr,0,18,0
39,8-Apr,2,20,0
40,9-Apr,4,24,0
41,10-Apr,3,27,0
42,11-Apr,1,28,0
43,12-Apr,5,33,0
44,13-Apr,3,36,0
45,14-Apr,7,43,1
46,15-Apr,5,48,0
47,16-Apr,4,52,0
48,17-Apr,2,54,0
49,18-Apr,2,61,0
50,19-Apr,1,61,0
51,20-Apr,0,61,0
52,21-Apr,1,62,0
53,22-Apr,3,65,2
54,23-Apr,13,78,2
55,24-Apr,3,81,0
56,25-Apr,2,83,3
57,26-Apr,12,95,4
58,27-Apr,10,105,1
59,28-Apr,8,113,1
60,29-Apr,3,116,5
61,30-Apr,1,117,7
62,1-May,3,120,9
63,2-May,7,127,2
64,3-May,5,132,2
65,4-May,7,139,2
66,5-May,8,147,1
67,6-May,8,155,4
68,7-May,7,162,13
69,8-May,9,171,1
70,9-May,4,175,8
71,10-May,5,180,32
72,11-May,4,184,6
73,12-May,3,187,0
74,13-May,1,188,1
75,14-May,5,193,0
76,15-May,10,203,1
77,16-May,18,221,2
78,17-May,16,237,9
79,18-May,12,249,5
80,19-May,31,279,1
81,20-May,46,325,10
82,21-May,23,348,13
83,22-May,19,367,10
84,23-May,31,398,8
85,24-May,33,431,3
86,25-May,21,452,3
87,26-May,29,481,8
88,27-May,31,512,19
89,28-May,18,530,23
90,29-May,9,539,18
91,30-May,19,558,29
92,31-May,15,579,14
93,1-Jun,19,592,23
94,2-Jun,58,650,31
95,3-Jun,52,702,39
96,4-Jun,48,750,33
97,5-Jun,41,791,37
98,6-Jun,43,834,28
99,7-Jun,22,856,15
100,8-Jun,128,984,18
101,9-Jun,69,1053,6
102,10-Jun,69,1122,19
103,11-Jun,35,1157,40
104,12-Jun,76,1233,53
105,13-Jun,76,1309,56
106,14-Jun,34,1343,54
107,15-Jun,91,1434,86
108,16-Jun,70,1504,44
109,17-Jun,122,1626,80
110,18-Jun,94,1720,87
111,19-Jun,94,1816,61
112,20-Jun,184,2000,43
113,21-Jun,144,2144,44
114,22-Jun,158,2302,80
115,23-Jun,186,2488,102
116,24-Jun,190,2678,83
117,25-Jun,161,2839,137
118,26-Jun,323,3162,124
119,27-Jun,251,3413,100
120,28-Jun,136,3549,88
121,29-Jun,233,3782,129
122,30-Jun,306,4088,107
123,1-Jul,233,4314,155
124,2-Jul,288,4602,134
125,3-Jul,369,4971,214
126,4-Jul,338,5309,169
127,5-Jul,247,5556,166
128,6-Jul,392,5948,134
129,7-Jul,581,6529,304
130,8-Jul,400,6929,180
131,9-Jul,469,7398,227
132,10-Jul,411,7809,305
133,11-Jul,411,8129,269
134,12-Jul,240,8369,306
135,13-Jul,440,8809,328
136,14-Jul,528,9335,219
137,15-Jul,594,9929,191
138,16-Jul,651,10580,478
139,17-Jul,827,11407,380
140,18-Jul,748,12154,486
141,19-Jul,768,12921,436
142,20-Jul,704,13625,451
143,21-Jul,1053,14678,307
144,22-Jul,1214,15892,236
145,23-Jul,1095,16987,305
146,24-Jul,887,17874,662
147,25-Jul,799,18773,358
148,26-Jul,498,19171,704
149,27-Jul,823,19984,617
150,28-Jul,778,20772,469
151,29-Jul,731,21503,1007
152,30-Jul,610,22113,503
153,31-Jul,626,22739,1027
154,1-Aug,1000,23740,1760
155,2-Aug,701,24443,839
156,3-Aug,640,25084,641
157,4-Aug,782,25867,832
158,5-Aug,1076,26945,541
159,6-Aug,1224,28171,615
160,7-Aug,1387,29560,695
161,8-Aug,1299,30862,581
162,9-Aug,729,31593,490
163,10-Aug,1195,32788,1619
164,11-Aug,1076,33864,534
165,12-Aug,951,34818,446
166,13-Aug,994,35816,1215
167,14-Aug,1189,37007,527
168,15-Aug,817,37825,558
169,16-Aug,694,38519,539
170,17-Aug,894,39414,663
171,18-Aug,926,40340,501
172,19-Aug,1133,41476,706
173,20-Aug,991,42476,758
174,21-Aug,1037,43504,436
175,22-Aug,782,44286,430
176,23-Aug,807,45095,576
177,24-Aug,870,45967,356
178,25-Aug,1058,47026,1619
179,26-Aug,992,48021,300
180,27-Aug,791,48815,580
181,28-Aug,936,49750,441
182,29-Aug,771,50522,620
183,30-Aug,644,51167,732
184,31-Aug,1068,52237,1058
185,1-Sep,1579,53820,689
186,2-Sep,1239,55065,814
187,3-Sep,1504,56570,1145
188,4-Sep,1083,57665,390
189,5-Sep,1108,58780,547
190,6-Sep,1239,60021,269
191,7-Sep,1285,61310,1769
192,8-Sep,986,62259,966
193,9-Sep,1124,63448,534
194,10-Sep,1355,64810,954
195,11-Sep,630,65933,1151
196,12-Sep,483,66876,943
197,13-Sep,432,67400,1257
198,14-Sep,513,67984,1262
199,15-Sep,375,68540,892
200,16-Sep,375,69086,1117
201,17-Sep,287,69589,1223
202,18-Sep,431,70018,1344
203,19-Sep,263,70316,970
204,20-Sep,122,70478,1156
205,21-Sep,298,70712,1092
